    CK08S030  2011 06  9.6239  8.019972  1.001698   40.1050   54.9506  162.7061  20130309   4.0  4.0  C/2008 S3 (Boattini)                                     MPC 82314
    CK09F020  2009 11 12.9905  5.868094  0.982188  336.2136  214.0459   59.3717  20130309   6.0  4.0  C/2009 F2 (McNaught)                                     MPC 80256
    CK09F040  2011 12 31.9499  5.455319  1.000404  260.3983   53.5823   79.3485  20130309   3.0  4.0  C/2009 F4 (McNaught)                                     MPEC 2013-E06
    CK09P010  2011 12 23.6221  1.550682  1.000801   90.7418  325.9982  106.1705  20130309   4.0  4.0  C/2009 P1 (Garradd)                                      MPEC 2013-E06
    CK09P020  2010 02 13.5679  6.547565  1.002758   76.3561   60.4643  163.4595  20130309   6.0  4.0  C/2009 P2 (Boattini)                                     MPC 76024
    CK09S030  2011 12 12.3271  6.476291  1.001435  129.8558  225.1332   60.3831  20130309   6.5  4.0  C/2009 S3 (Lemmon)                                       MPC 82717
    PK10A020  2013 05 22.9721  2.003978  0.125305  132.9200  320.2441    5.2559  20130309  15.5  4.0  P/2010 A2 (LINEAR)                                       MPC 75711
    CK10B010  2011 02  7.2541  2.943546  0.999197  211.5840  277.1978  101.9837  20130309   7.5  4.0  C/2010 B1 (Cardinal)                                     MPC 80896
    CK10G020  2011 09  1.8779  1.980140  0.978872  137.3806  246.7879  103.7619  20130309   8.0  4.0  C/2010 G2 (Hill)                                         MPC 82717
    PK10H020  2010 03  7.3134  3.103368  0.192691  129.6849   64.3100   14.2573  20130309   6.0  4.0  P/2010 H2 (Vales)                                        MPC 72851
    PK10H050  2010 04  8.6505  6.020342  0.155640  174.4832   24.8796   14.0854  20130309  13.0  2.0  P/2010 H5 (Scotti)                                       MPC 74637
    PK10J050  2009 10 31.8351  3.746678  0.086774  149.6128   65.6701    7.3565  20130309  10.0  4.0  P/2010 J5 (McNaught)                                     MPC 76025
    PK10J81C  2011 04 26.5213  1.812786  0.777306   12.6198   30.7808   38.6837  20130309   9.0  4.0  P/2010 JC81 (WISE)                                       MPC 82717
    CK10L030  2010 11 10.4327  9.881932  1.002543  121.7549   38.2744  102.6263  20130309   4.5  4.0  C/2010 L3 (Catalina)                                     MPC 82316
    CK10M010  2012 02  7.840   2.29869   1.00000   265.318    82.150    78.373              9.0  4.0  C/2010 M1 (Gibbs)                                        MPC 70817
    CK10R010  2012 05 18.5851  5.621018  1.003330  114.4806  343.6663  156.9277  20130309   6.0  4.0  C/2010 R1 (LINEAR)                                       MPEC 2013-E06
    PK10R020  2010 06 22.7477  2.617847  0.153857   58.8772  270.6523   21.4201  20130309  13.0  4.0  P/2010 R2 (La Sagra)                                     MPC 77404
    CK10S010  2013 05 20.3231  5.899820  1.001654  118.6176   93.4311  125.3356  20130309   3.5  4.0  C/2010 S1 (LINEAR)                                       MPC 82717
    PK10T20O  2009 02  1.7570  5.333943  0.068168  267.5422   43.9524    2.5121  20130309   9.0  4.0  P/2010 TO20 (LINEAR-Grauer)                              MPC 81468
    CK10U030  2019 02 23.9354  8.460281  1.002880   87.9176   43.0322   55.4321  20130309   1.0  4.0  C/2010 U3 (Boattini)                                     MPC 82717
    PK10U55H  2011 05 10.7867  2.769728  0.575797  221.7324  235.2573    8.6628  20130309  11.0  4.0  P/2010 UH55 (Spacewatch)                                 MPC 79021
    PK10V010  2010 10 13.2849  1.574878  0.486709  152.2356    3.7774    9.3822  20130309   8.0  4.0  P/2010 V1 (Ikeya-Murakami)                               MPC 74249
    CK11A030  2011 12 16.0027  2.344685  0.997318  141.1411  124.8939   26.0786  20130309  10.0  4.0  C/2011 A3 (Gibbs)                                        MPC 81857
    PK11C020  2012 01  7.5099  5.388382  0.269922  160.5175   12.2031   10.9040  20130309   9.0  4.0  P/2011 C2 (Gibbs)                                        MPC 82317
    CK11F010  2013 01  8.0127  1.819123  1.000066  192.5516   85.1151   56.6129  20130309   5.0  4.0  C/2011 F1 (LINEAR)                                       MPC 82317
    PK11FE3R  2011 03 10.3123  3.733425  0.453371  349.8589  191.0032   16.0105  20130309  14.0  2.0  P/2011 FR143 (Lemmon)                                    MPC 79866
