0119P         2014 04  2.7483  3.035172  0.291180  181.0737  244.0773    5.1934  20100723   3.5  8.0  119P/Parker-Hartley                                      MPC 52907
0123P         2011 07  4.4919  2.129190  0.448072  102.8168   46.6002   15.3569  20100723   4.0 10.0  123P/West-Hartley                                        MPC 62881
0124P         2008 04 26.0457  1.504002  0.535747  182.8218    0.7221   32.1327  20100723  13.5  2.8  124P/Mrkos                                               MPC 54168
0126P         2010 02 22.6443  1.713363  0.696391  356.7190  357.7609   45.8313  20100723   6.0  8.0  126P/IRAS                                                MPC 66205
0127P         2009 10 21.4235  2.195911  0.362302    6.5641   13.6835   14.3217  20100723  11.0  6.0  127P/Holt-Olmstead                                       MPC 67414
0128P      b  2007 06 13.8064  3.062504  0.320891  210.3319  214.3583    4.3606  20100723   8.5  4.0  128P/Shoemaker-Holt                                      MPC 51822
0129P         2014 01  7.7194  3.249940  0.197951  319.5899  190.0263    2.9273  20100723  11.0  4.0  129P/Shoemaker-Levy                                      MPC 50140
0130P         2011 06 24.6554  2.098422  0.406837  224.3174   89.8180    7.3065  20100723  10.0  6.0  130P/McNaught-Hughes                                     MPC 62881
0131P         2012 01  7.8987  2.417971  0.342932  179.6358  214.2254    7.3551  20100723  11.0  4.0  131P/Mueller                                             MPC 65937
0137P         2009 05 13.6557  1.915862  0.574634  140.8669  233.1087    4.8529  20100723  11.0  4.0  137P/Shoemaker-Levy                                      MPC 56803
0139P         2008 04 20.1211  3.402780  0.247434  165.6679  242.3989    2.3287  20100723   9.5  4.0  139P/Vaisala-Oterma                                      MPC 60666
0141P      d  2010 05 29.7106  0.757809  0.749215  149.3298  246.0849   12.8032  20100723  12.0 12.0  141P/Machholz                                            MPC 59599
0142P         2010 05 30.3868  2.487984  0.499931  175.7036  176.5179   12.3066  20100723   8.5  6.0  142P/Ge-Wang                                             MPC 71683
0143P         2009 06 12.2487  2.538870  0.409490  320.7970  245.3628    4.6899  20100723  13.5  2.0  143P/Kowal-Mrkos                                         MPC 56803
0149P         2010 02 19.1467  2.650884  0.388334   43.7533  145.2640   29.7344  20100723   8.0  8.0  149P/Mueller                                             MPC 59598
0150P         2008 11 25.8175  1.768690  0.545368  245.6777  272.4262   18.4971  20100723  13.5  4.0  150P/LONEOS                                              MPC 54170
0152P         2012 07  9.5681  3.114053  0.307822  163.8913   91.9432    9.8672  20100723  11.5  4.0  152P/Helin-Lawrence                                      MPC 65938
0157P         2010 02 20.5399  1.360146  0.601170  148.7492  300.1068    7.2771  20100723  10.0  4.0  157P/Tritton                                             MPC 66922
0158P         2012 09 15.0746  4.579212  0.029721  231.5379  137.3091    7.9084  20100723   9.0  4.0  158P/Kowal-LINEAR                                        MPC 65939
