 1481    Sceptrum          
 8775    Scheat            
 168     Schedar           
 1373    Secunda Hyadum    
 0542    Segin             
 5435    Seginus           
 7479    Sham              
 6527    Shaula            
 7106    Sheliak           
 553     Sheratan          
 2491    Sirius            
 8610    Situla            
 8709    Skat              
 5056    Spica             
 7906    Sualocin          
 3852    Subra             
 3634    Suhail            
 7178    Sulafat           
 5338    Syrma             
 1543    Tabit             
 4518    Taiyangshou       
 4916    Taiyi             
 3569    Talitha           
 4069    Tania Australis   
 4033    Tania Borealis    
 7525    Tarazed           
 3249    Tarf              
 1145    Taygeta           
 3208    Tegmine           
 2286    Tejat             
 7597    Terebellum        
 1464    Theemin           
 5291    Thuban            
 8636    Tiaki             
 1910    Tianguan          
 4863    Tianyi            
 458     Titawin           
 5460    Toliman           
 4609    Tonatiuh          
 510     Torcular          
 3185    Tureis            
 3845    Ukdah             
 5854    Unukalhai         
 2646    Unurgunite        
 7001    Vega              
 8930    Veritate          
 4932    Vindemiatrix      
 2777    Wasat             
 2040    Wazn              
 2693    Wezen             
 338     Wurren            
 6247    Xamidimura        
 5351    Xuange            
 6075    Yed Posterior     
 6056    Yed Prior         
 6789    Yildun            
 4689    Zaniah            
 1231    Zaurak            
 4540    Zavijava          
 3903    Zhang             
 984     Zibal             
 4357    Zosma             
 5531    Zubenelgenubi     
 5787    Zubenelhakrabi    
 5685    Zubeneschamali    
