; Default constellation file for Cartes du Ciel
;
; Use the program ConvConstL.exe to prepare this file for use 
; with Cartes du Ciel.
;
; Each line describe a line to draw from star HR1 to star HR2.
; The HR number (or BSC number) can be found on the chart using the BSC catalog
; the constelation name is not used but just added for convenience
; when editing this file.
;
;Cn    HR1    HR2
LAC   8585   8541
LAC   8632   8498
LEO   3975   4057
LEO   3982   3975
LEO   4031   3905
LEO   4057   4031
LEO   4357   4359
LEO   4359   3982
LEO   4359   4534
LEO   4534   4357
LEO   3905   3873
LEP   1829   1654
LEP   1829   1983
LEP   1865   1702
LEP   1865   1829
LEP   1983   2035
LEP   1998   1865
LEP   2035   1865
LEP   2085   1998
LIB   5531   5685
LIB   5603   5531
LIB   5603   5794
LIB   5685   5787
LIB   5787   5603
LIB   5794   5812
LMI   4100   3974
LMI   4100   4247
LUP   5469   5649
LUP   5571   5469
LUP   5649   5708
LUP   5695   5571
LUP   5705   5695
LUP   5708   5776
LUP   5825   5776
LUP   5883   5705
LUP   5987   5825
LUP   5987   5883
LYN   2238   2560
LYN   2560   2818
LYN   2818   3173
LYN   3173   3275
LYN   3690   3275
LYN   3705   3690
LYR   7001   7051
LYR   7001   7056
LYR   7056   7106
LYR   7106   7178
LYR   7139   7056
LYR   7178   7139
MEN   1629   1677
MEN   1953   1629
MEN   2261   1953
MIC   7965   8039
MIC   8039   8135
MIC   8135   8151
MON   2356   2227
MON   2714   2356
MON   2970   2714
MON   3188   2970
MUS   4520   4671
MUS   4671   4798
MUS   4773   4923
MUS   4798   4773
MUS   4844   4798
MUS   4923   4844
NOR   5962   6072
NOR   5980   5962
NOR   6072   6115
NOR   6115   5980
OCT   5339   8254
OCT   8254   8630
OCT   8630   5339
OPH   6056   6075
OPH   6075   6175
OPH   6149   6056
OPH   6175   6378
OPH   6299   6149
OPH   6378   6629
OPH   6556   6299
OPH   6603   6556
OPH   6629   6603
OPH   6629   6714
OPH   6714   6752
ORI   1543   1544
ORI   1544   1556
ORI   1552   1543
ORI   1567   1552
ORI   1601   1567
ORI   1713   2004
ORI   1735   1713
ORI   1790   1601
ORI   1790   1852
ORI   1852   1735
ORI   1876   1790
ORI   1948   2061
ORI   2004   1948
ORI   2061   1876
ORI   2061   2124
ORI   2124   2159
ORI   2124   2199
ORI   2159   2047
ORI   2199   2135
PAV   6582   6982
PAV   6982   7590
PAV   7590   7913
PAV   7665   6582
PAV   7790   7913
PAV   7913   7665
PAV   7913   8181
PEG     15     39
PEG     39   8781
PEG   8430   8315
PEG   8450   8308
PEG   8634   8450
PEG   8650   8454
PEG   8667   8430
PEG   8665   8634
PEG   8684   8667
PEG   8775     15
PEG   8775   8650
PEG   8775   8684
PEG   8781   8665
PEG   8781   8775
PER    834    854
PER    834    915
PER    854    937
PER    915   1017
PER    936    921
PER    937    941
PER    941    936
PER   1017   1122
PER   1122   1135
PER   1122   1273
PER   1135   1220
PER   1203   1131
PER   1220   1228
PER   1228   1203
PER   1273   1303
PER   1303   1261
PHE    322    440
PHE    322     99
PHE    338    322
PHE    429    322
PHE    440    429
PHE     99     25
PIC   2042   2020
PIC   2550   2042
PSA   8305   8431
PSA   8431   8576
PSA   8576   8695
PSA   8695   8720
PSA   8720   8728
PSA   8728   8628
PSA   8728   8812
PSC    294    224
PSC    360    383
PSC    383    352
PSC    437    360
PSC    489    294
PSC    510    437
PSC    596    489
PSC    596    510
PSC   8852   8773
PSC   8852   8916
PSC   8911   8852
PSC   8916   8969
PSC   8969   8984
PSC   8984   8911
PSC   9072   8969
PSC    224   9072
PUP   2451   2553
PUP   2553   2746
PUP   2746   2451
PUP   2746   2878
PUP   2773   3165
PUP   2878   2773
PUP   2996   3165
PUP   3045   2996
PUP   3165   2878
PUP   3185   3045
PYX   3438   3468
PYX   3468   3518
RET   1175   1336
RET   1247   1264
RET   1264   1175
RET   1336   1355
RET   1355   1247
SCL   8863   9016
SCL   8937   8863
SCL   9016    280
SCO   5953   5944
SCO   5953   5984
SCO   5953   6084
SCO   6084   6134
SCO   6134   6165
SCO   6165   6241
SCO   6241   6247
SCO   6247   6271
SCO   6271   6380
SCO   6380   6553
SCO   6527   6508
SCO   6553   6615
SCO   6580   6527
SCO   6615   6580
SCT   6930   6973
SCT   6973   7063
SER   5789   5854
SER   5854   5892
SER   5867   5789
SER   5879   5842
SER   5879   5867
SER   5879   5899
SER   5879   5933
SER   5881   6056
SER   5892   5881
SER   6446   6378
SER   6561   6446
SER   6581   6561
SER   6698   6581
SER   6869   6698
SER   7141   6869
SEX   3981   4119
SEX   4116   3909
SEX   4119   4116
SEX   3909   3981
SGE   7536   7479
SGE   7536   7488
SGE   7635   7536
SGR   6746   6879
SGR   6859   6746
SGR   6879   6859
SGR   6879   7194
SGR   6913   6859
SGR   7039   6913
SGR   7121   7039
SGR   7121   7217
SGR   7194   7039
SGR   7194   7234
SGR   7217   7150
SGR   7217   7264
SGR   7234   7121
SGR   7264   7340
SGR   7337   7348
SGR   7348   7194
TAU   1038   1030
TAU   1239   1038
TAU   1346   1239
TAU   1373   1346
TAU   1389   1373
TAU   1411   1346
TAU   1409   1389
TAU   1457   1411
TAU   1497   1409
TAU   1791   1497
TAU   1910   1457
TEL   6897   6783
TEL   6905   6897
TRA   5671   6217
TRA   5771   5671
TRA   5897   5771
TRA   6217   5897
TRI    544    622
TRI    544    664
TRI    622    664
TUC   8502   8540
TUC   8848   8502
TUC   8848    126
TUC   9076   8540
TUC     77   9076
TUC    126     77
UMA   4295   4301
UMA   4301   4660
UMA   4301   3757
UMA   4335   4069
UMA   4377   4375
UMA   4518   4335
UMA   4518   4377
UMA   4554   4295
UMA   4554   4518
UMA   4660   4554
UMA   4905   4660
UMA   5054   4905
UMA   5191   5054
UMA   3569   3775
UMA   3757   3323
UMA   3775   3894
UMA   3888   3757
UMA   3894   3888
UMI   5563   5735
UMI   5735   6116
UMI   5903   5563
UMI   6116   5903
UMI   6322   5903
UMI   6789   6322
UMI    424   6789
VEL   4216   3940
VEL   3207   3634
VEL   3485   3207
VEL   3634   3734
VEL   3634   3786
VEL   3734   3485
VEL   3940   3734
VIR   4689   4540
VIR   4825   4689
VIR   4825   5056
VIR   4910   4825
VIR   4932   4910
VIR   4968   4983
VIR   4983   4737
VIR   5056   5338
VIR   5264   5107
VIR   5338   5487
VIR   5487   5511
VIR   5511   5264
VIR   5747   5793
VIR   5778   5747
VIR   5793   5849
VIR   5849   5889
VIR   5889   5947
VIR   5947   5971
VOL   2736   2803
VOL   2803   3347
VOL   3024   2736
VOL   3223   3024
VOL   3347   3223
VOL   3615   3347
VOL   3659   3699
VUL   7405   7306
VUL   7405   7592
