Phact            05h39m38.90s -34°04'27.0" 
Phad             11h53m49.80s +53°41'41.0" 
Pherkad          15h20m43.70s +71°50'02.0" 
Polaris          02h31m48.70s +89°15'51.0" 
Pollux           07h45m18.90s +28°01'34.0" 
Porrima          12h41m39.60s -01°26'58.0" 
Praecipua        10h53m18.70s +34°12'54.0" 
Procyon          07h39m18.10s +05°13'30.0" 
Propus           06h14m52.60s +22°30'24.0" 
Rana             03h43m14.90s -09°45'48.0" 
Rasalas          09h52m45.80s +26°00'25.0" 
Rasalgethi       17h14m38.90s +14°23'25.0" 
Rasalhague       17h34m56.10s +12°33'36.0" 
Rastaban         17h30m26.00s +52°18'05.0" 
Regulus          10h08m22.30s +11°58'02.0" 
Rigel            05h14m32.30s -08°12'06.0" 
Rotanev          20h37m33.00s +14°35'43.0" 
Rukbat           19h23m53.20s -40°36'58.0" 
Sabik            17h10m22.70s -15°43'29.0" 
Sadachbia        22h21m39.40s -01°23'14.0" 
Sadalmelik       22h05m47.00s -00°19'11.0" 
Sadalsuud        21h31m33.50s -05°34'16.0" 
Sadr             20h22m13.70s +40°15'24.0" 
Saiph            05h47m45.40s -09°40'11.0" 
Sargas           17h37m19.20s -42°59'52.0" 
Sarin            17h15m01.90s +24°50'21.0" 
Scheat           23h03m46.50s +28°04'58.0" 
Schedar          00h40m30.50s +56°32'14.0" 
Scutulum         09h17m05.40s -59°16'31.0" 
Seginus          14h32m04.70s +38°18'30.0" 
Shaula           17h33m36.50s -37°06'14.0" 
Shelyak          18h50m04.80s +33°21'46.0" 
Sheratan         01h54m38.40s +20°48'29.0" 
Sirius           06h45m08.90s -16°42'58.0" 
Skat             22h54m39.00s -15°49'15.0" 
Spica            13h25m11.60s -11°09'41.0" 
Sualocin         20h39m38.30s +15°54'43.0" 
Suhail           08h09m32.00s -47°20'12.0" 
Sulaphat         18h58m56.60s +32°41'22.0" 
Tania Australis  10h22m19.70s +41°29'58.0" 
Tania Borealis   10h17m05.80s +42°54'52.0" 
Tarazed          19h46m15.60s +10°36'48.0" 
Tejat            06h22m57.60s +22°30'49.0" 
Thuban           14h04m23.30s +64°22'33.0" 
Tyl              19h48m10.40s +70°16'04.0" 
Unukalhai        15h44m16.10s +06°25'32.0" 
Vega             18h36m56.30s +38°47'01.0" 
Vindemiatrix     13h02m10.60s +10°57'33.0" 
Wasat            07h20m07.40s +21°58'56.0" 
Wazn             05h50m57.60s -35°46'06.0" 
Wezen            07h08m23.50s -26°23'36.0" 
Yed Posterior    16h18m19.30s -04°41'33.0" 
Yed Prior        16h14m20.70s -03°41'40.0" 
Zaniah           12h19m54.40s -00°40'01.0" 
Zaurac           03h58m01.80s -13°30'31.0" 
Zosma            11h14m06.50s +20°31'25.0" 
Zubenelgenubi    14h50m52.70s -16°02'30.0" 
Zuben El Hakrabi 15h35m31.60s -14°47'22.0" 
Zuben Elschemali 15h17m00.40s -09°22'59.0" 
