0002P         2010 08  6.5019  0.335869  0.848338  186.5490  334.5669   11.7831  20100723  11.5  6.0  2P/Encke                                                 MPC 59600
0008P         2008 01 26.7039  1.027679  0.819476  207.4962  270.3486   54.9881  20100723   8.0  8.0  8P/Tuttle                                                MPC 61707
0009P         2011 01 12.3628  1.510248  0.516640  178.9218   68.9108   10.5220  20100723   5.5 10.0  9P/Tempel                                                MPC 62880
0010P         2010 07  4.9072  1.422698  0.536334  195.6608  117.8251   12.0223  20100723   5.0 10.0  10P/Tempel                                               MPC 59600
0014P         2009 02 27.4837  2.725062  0.357824  159.0652  202.1133   27.9427  20100723   5.5 12.0  14P/Wolf                                                 MPC 56802
0017P         2007 05  5.2614  2.053676  0.432837   24.3791  326.8507   19.1105  20100723  10.0  6.0  17P/Holmes                                               MPC 51822
0022P         2009 05 25.3009  1.576657  0.544267  162.7545  120.8826    4.7236  20100723   3.0 10.4  22P/Kopff                                                MPC 66205
0024P         2009 08  9.5975  1.213716  0.703511   57.9814   79.7154   11.7303  20100723   6.5 14.0  24P/Schaumasse                                           MPC 56804
0029P         2004 07 15.0677  5.720702  0.045061   49.2011  312.6308    9.3905  20100723   4.0  4.0  29P/Schwassmann-Wachmann                                 MPC 42666
0030P         2010 04 19.5387  1.884060  0.501070   13.2043  119.7537    8.1221  20100723   9.5  6.0  30P/Reinmuth                                             MPC 59599
0031P         2010 09 29.5875  3.424310  0.192676   17.9480  114.1907    4.5469  20100723   5.0  8.0  31P/Schwassmann-Wachmann                                 MPC 59600
0036P         2011 12 31.0058  3.087202  0.258953  201.8477  182.3943    9.9358  20100723   8.5  6.0  36P/Whipple                                              MPC 62883
0043P         2010 07  1.7432  1.357615  0.594454  191.4690  249.8959   15.9664  20100723   8.0  6.0  43P/Wolf-Harrington                                      MPC 59600
0047P         2009 02  1.2466  2.800170  0.318998  357.7686  356.9809   13.0530  20100723   1.0 11.2  47P/Ashbrook-Jackson                                     MPC 56802
0049P         2011 10 19.0941  1.421558  0.600709  332.8425  118.9310   19.0687  20100723  11.3  4.4  49P/Arend-Rigaux                                         MPC 62882
0054P         2009 11 28.4635  2.172039  0.426349    1.9003  358.8532    6.0686  20100723  10.0  6.0  54P/de Vico-Swift-NEAT                                   MPC 66922
0059P         2009 03  7.6888  2.354945  0.475504  127.5259  313.0281    9.3393  20100723   7.0  6.0  59P/Kearns-Kwee                                          MPC 64498
0061P         2008 09  6.3644  2.108420  0.426927  221.7000  163.1081    6.0098  20100723   6.0 10.0  61P/Shajn-Schaldach                                      MPC 63377
0065P         2010 03  2.2340  2.440456  0.319517  196.6667   68.3540   10.3860  20100723   5.0  6.0  65P/Gunn                                                 MPC 59598
0067P         2009 02 28.4520  1.245727  0.640466   12.6984   50.1815    7.0427  20100723  11.0  4.0  67P/Churyumov-Gerasimenko                                MPC 56802
