5	-440623	-639104	16.8052778	96.1561111	164819	960922	JU96	NE47-13	P	PPLC 		BM	17				C	BY			RANGOON	Rangoon	Rangoon	2005-08-23
5	-440623	-654394	16.8052778	96.1561111	164819	960922	JU96	NE47-13	P	PPLC 		BM	17				N	BY			YANGON	Yangon	Yangon	2005-08-23
3	-1335726	-1927867	6.4833333	2.6166667	62900	23700	DH51	NB31-06	P	PPLC 		BN	16				N				PORTONOVO	Porto-Novo	Porto-Novo	2003-08-20
2	-1946324	-2715364	53.9	27.5666667	535400	273400	NV37	NN35-08	P	PPLC 		BO	00				N				MINSK	Minsk	Minsk	1998-06-05
5	-1546211	-2201662	-9.4333333	 159.95	-92600	1595700	XK05	SC57-07	P	PPLC 		BP	00				N				HONIARA	Honiara	Honiara	1995-05-22
1	-631243	-890767	 -15.7833333	 -47.9166667	-154700	-475500	JC85	SD23-13	P	PPLC 		BR	07				N				BRASILIA	Brasília	Brasilia	1995-04-26
5	-2211419	-3059062	27.4833333	89.6	272900	893600	YL54	NG45-04	P	PPLC 		BT	20				N				THIMPHU	Thimphu	Thimphu	1997-02-11
2	-838489	-1247681	42.6833333	23.3166667	424100	231900	FN82	NK34-06	P	PPLC 	1	BU	42				C				SOFIA	Sofia	Sofia	2005-02-23
2	-838489	-1247680	42.6833333	23.3166667	424100	231900	FN82	NK34-06	P	PPLC 	1	BU	42			BU	N				SOFIYA	Sofiya	Sofiya	2005-02-23
3	-1337176	-1929579	4.8833333	 114.9333333	45300	1145600	KL74	NB50-13	P	PPLC 		BX	00				N				BANDARSERIBEGAWAN	Bandar Seri Begawan	Bandar Seri Begawan	1995-04-26
3	6034031	6038660	-3.3761111	29.36	-32234	292136	QS62	SA35-16	P	PPLC 		BY	00				N				BUJUMBURA	Bujumbura	Bujumbura	2003-02-12
1	-570760	-806104	45.4166667	 -75.7	452500	-754200	VR42	NL18-08	P	PPLC 		CA	08				N				OTTAWA	Ottawa	Ottawa	1995-04-26
5	-1033783	-2150091	11.55	 104.9166667	113300	1045500	VT97	NC48-02	P	PPLC 		CB	11				C				PHNOMPENH	Phnom Penh	Phnom Penh	1997-08-29
5	-1033783	-2150090	11.55	 104.9166667	113300	1045500	VT97	NC48-02	P	PPLC 		CB	11				N	CA			PHNUMPENH	Phnum Pénh	Phnum Penh	1997-08-29
3	-1101785	-1630121	12.1130556	15.0491667	120647	150257	WP03	ND33-15	P	PPLC 		CD	04				N				NDJAMENA	N'Djamena	N'Djamena	2003-02-12
5	-2214877	-3063225	6.9319444	79.8477778	65555	795052	LN76	NB44-02	P	PPLC 		CE	36				N				COLOMBO	Colombo	Colombo	2000-07-11
5	-2224883	242954	6.9027778	79.9083333	65410	795430	LN76	NB44-02	P	PPLC 		CE	36				N				SRIJAYEWARDENEPURAKOTTE	Sri Jayewardenepura Kotte	Sri Jayewardenepura Kotte	2000-09-26
3	-2205356	-3051885	-4.2591667	15.2847222	-41533	151705	WR32	SB33-03	P	PPLC 		CF	12				N				BRAZZAVILLE	Brazzaville	Brazzaville	1996-03-04
3	-2049111	-2843630	-4.3297222	15.315	-41947	151854	WR32	SB33-03	P	PPLC 		CG	06				N				KINSHASA	Kinshasa	Kinshasa	1999-12-14
5	-1898541	-2611050	39.9288889	 116.3883333	395544	1162318	MK42	NJ50-02	P	PPLC 	1	CH	22				N				BEIJING	Beijing	Beijing	2001-02-02
1	-901202	-1331937	 -33.45	 -70.6666667	-332700	-704000	CC49	SI19-05	P	PPLC 		CI	12				N				SANTIAGO	Santiago	Santiago	1997-06-26
1	-1187463	-1749592	19.3	 -81.3833333	191800	-812300	MB53	NE17-02	P	PPLC 		CJ	00				N				GEORGETOWN	George Town	George Town	1995-05-22
3	-3160026	-4456985	3.8666667	11.5166667	35200	113100	QK72	NA32-04	P	PPLC 		CM	11				N				YAOUNDE	Yaoundé	Yaounde	1996-12-13
1	-2087938	-2899455	 -11.7041667	43.2402778	-114215	431425	LN00	SC38-13	P	PPLC 		CN	02				N				MORONI	Moroni	Moroni	1998-01-12
1	-578472	-816103	4.6	 -74.0833333	43600	-740500	XL00	NB18-15	P	PPLC 		CO	33		5698566		N				BOGOTA	Bogotá	Bogota	2003-10-30
1	-1109108	-1639566	9.9333333	 -84.0833333	95600	-840500	HR19	NC17-09	P	PPLC 		CS	08				N				SANJOSE	San José	San Jose	1995-04-26
3	-1339562	-1932501	4.3666667	18.5833333	42200	183500	BK38	NB34-13	P	PPLC 	1	CT	18				N				BANGUI	Bangui	Bangui	2003-04-16
1	-1628751	-2296129	23.1319444	 -82.3641667	230755	-822151	LF65	NF17-06	P	PPLC 		CU	02				C				HAVANA	Havana	Havana	2004-11-02
1	-1628751	-2296128	23.1319444	 -82.3641667	230755	-822151	LF65	NF17-06	P	PPLC 		CU	02				N	sp			LAHABANA	La Habana	La Habana	2004-11-02
1	-1313468	-1900681	14.9166667	 -23.5166667	145500	-233100	TS25	ND27-05	P	PPLC 		CV	00				N				PRAIA	Praia	Praia	1995-04-26
5	-1204668	-1770389	 -21.2077778	-159.775	-211228	-1594630	DB15	SF04-06	P	PPLC 	4	CW	00				N				AVARUA	Avarua	Avarua	2004-04-06
2	-2738616	-3800002	35.1666667	33.3666667	351000	332200	WD39	NI36-03	P	PPLC 		CY	04				N				NICOSIA	Nicosia	Nicosia	1999-03-07
1	-2745636	-3810472	55.6666667	12.5833333	554000	123500	UB47	NN33-01	P	PPLC 	1	DA	05				C				COPENHAGEN	Copenhagen	Copenhagen	2005-05-18
1	-2745636	-3810471	55.6666667	12.5833333	554000	123500	UB47	NN33-01	P	PPLC 	1	DA	05				N				KOBENHAVN	København	Kobenhavn	2005-05-18
3	-2034412	-2825661	11.595	43.1480556	113542	430853	KT98	NC38-01	P	PPLC 		DJ	03				N				DJIBOUTI	Djibouti	Djibouti	2000-11-15
1	-1352344	-1947009	15.3	 -61.4	151800	-612400	PB79	ND20-04	P	PPLC 		DO	04				N				ROSEAU	Roseau	Roseau	1995-04-26
1	-3366242	-4781468	18.4666667	 -69.9	182800	-695400	DA04	NE19-06	P	PPLC 		DR	05				N				SANTODOMINGO	Santo Domingo	Santo Domingo	1995-04-26
1	-932573	-1379394	-0.2166667	 -78.5	-1300	-783000	QV77	SA17-04	P	PPLC 		EC	18				N				QUITO	Quito	Quito	1995-04-26
3	-290692	-447174	30.05	31.25	300300	311500	UU32	NH36-05	P	PPLC 		EG	11				N	AD			ALQAHIRAH	Al Qāhirah	Al Qahirah	1998-09-10
3	-290692	-447175	30.05	31.25	300300	311500	UU32	NH36-05	P	PPLC 		EG	11				C				CAIRO	Cairo	Cairo	1998-09-10
1	-1502554	-2144897	53.3330556	-6.2488889	531959	-61456	PV81	NN29-09	P	PPLC 	1	EI	07		477700		N	IR			BAILEATHACLIATH	Baile Átha Cliath	Baile Atha Cliath	2001-06-26
1	-1502554	-2144896	53.3330556	-6.2488889	531959	-61456	PV81	NN29-09	P	PPLC 	1	EI	07		477700		N	EN			DUBLIN	Dublin	Dublin	2001-06-26
3	-2064461	-2863963	3.75	8.7833333	34500	84700	MK71	NA32-02	P	PPLC 		EK	04				N				MALABO	Malabo	Malabo	2004-09-16
2	-2625660	-3621610	59.4338889	24.7280556	592602	244341	LF79	NO35-01	P	PPLC 	1	EN	01				N				TALLINN	Tallinn	Tallinn	2001-04-27
3	-604780	71322	15.3333333	38.9333333	152000	385600	DS99	ND37-02	P	PPLC 		ER	00				N				ASMARA	Asmara	Asmara	1999-06-18
1	-1148082	-1692969	13.7086111	 -89.2030556	134231	-891211	BA61	ND16-09	P	PPLC 		ES	10				N				SANSALVADOR	San Salvador	San Salvador	2003-03-11
3	-603097	-850037	9.0333333	38.7	90200	384200	DK69	NC37-10	P	PPLC 		ET	10				C				ADDISABABA	Addis Ababa	Addis Ababa	1997-03-13
3	-603097	-850036	9.0333333	38.7	90200	384200	DK69	NC37-10	P	PPLC 		ET	10				N	AC			ADISABEBA	Ādīs Ābeba	Adis Abeba	1997-03-13
2	-553173	-782664	50.0833333	14.4666667	500500	142800	VR64	NM33-05	P	PPLC 		EZ	52				C				PRAGUE	Prague	Prague	2001-02-05
2	-553173	-782663	50.0833333	14.4666667	500500	142800	VR64	NM33-05	P	PPLC 		EZ	52				N	CX			PRAHA	Praha	Praha	2001-02-05
1	-916118	-1356273	4.9333333	 -52.3333333	45600	-522000	CL54	NB22-14	P	PPLC 		FG	00				N				CAYENNE	Cayenne	Cayenne	1995-05-22
1	-1364995	-1965079	60.1755556	24.9341667	601032	245603	LG87	NP35-13	P	PPLC 	1	FI	13				N	SV			HELSINGFORS	Helsingfors	Helsingfors	2002-02-20
1	-1364995	-1965078	60.1755556	24.9341667	601032	245603	LG87	NP35-13	P	PPLC 	1	FI	13				N	FJ			HELSINKI	Helsinki	Helsinki	2002-02-20
1	-1195133	-1758536	 -18.1333333	 178.4166667	-180800	1782500	XE49	SE60-11	P	PPLC 		FJ	01				N				SUVA	Suva	Suva	1996-12-16
1	-1176538	-1735696	 -51.7	 -57.85	-514200	-575100	VC47	SM21-10	P	PPLC 		FK	00				N				STANLEY	Stanley	Stanley	1995-05-22
5	-3740223	-4971502	6.9166667	 158.15	65500	1580900	VH06	NB57-06	P	PPLC 		FM	02				N				PALIKIR	Palikir	Palikir	1998-12-18
