 16h35m45.0s -17d36m15s  start      0
 16h35m59.0s -17d31m48s  vertex
 16h36m14.0s -17d27m21s  vertex
 16h36m49.0s -17d26m35s  vertex
 16h37m23.0s -17d25m49s  vertex
 16h37m38.0s -17d21m21s  vertex
 16h37m52.0s -17d16m52s  vertex
 16h38m27.0s -17d16m05s  vertex
 16h39m01.0s -17d15m16s  vertex
 16h39m36.0s -17d14m27s  vertex
 16h40m10.0s -17d13m37s  vertex
 16h40m25.0s -17d09m06s  vertex
 16h40m39.0s -17d04m35s  vertex
 16h41m14.0s -17d03m44s  vertex
 16h41m48.0s -17d02m51s  vertex
 16h42m23.0s -17d01m58s  vertex
 16h42m57.0s -17d01m04s  vertex
 16h43m31.0s -17d00m09s  vertex
 16h44m06.0s -16d59m13s  vertex
 16h44m20.0s -16d54m40s  vertex
 16h44m35.0s -16d50m06s  vertex
 16h45m09.0s -16d49m09s  vertex
 16h45m43.0s -16d48m11s  vertex
 16h46m18.0s -16d47m12s  vertex
 16h46m52.0s -16d46m12s  vertex
 16h47m27.0s -16d45m12s  vertex
 16h48m01.0s -16d44m11s  vertex
 16h48m35.0s -16d43m09s  vertex
 16h49m10.0s -16d42m06s  vertex
 16h49m44.0s -16d41m03s  vertex
 16h50m19.0s -16d39m59s  vertex
 16h50m53.0s -16d38m54s  vertex
 16h51m27.0s -16d37m48s  vertex
 16h51m41.0s -16d33m10s  vertex
 16h51m56.0s -16d28m31s  vertex
 16h52m30.0s -16d27m24s  vertex
 16h53m04.0s -16d26m16s  vertex
 16h53m18.0s -16d21m36s  vertex
 16h53m32.0s -16d16m56s  vertex
 16h54m07.0s -16d15m47s  vertex
 16h54m41.0s -16d14m37s  vertex
 16h54m55.0s -16d09m56s  vertex
 16h55m09.0s -16d05m15s  vertex
 16h55m43.0s -16d04m04s  vertex
 16h56m18.0s -16d02m51s  vertex
 16h56m32.0s -15d58m09s  vertex
 16h56m45.0s -15d53m27s  vertex
 16h57m20.0s -15d52m14s  vertex
 16h57m54.0s -15d50m59s  vertex
 16h58m08.0s -15d46m16s  vertex
 16h58m22.0s -15d41m33s  vertex
 19h11m30.0s -32d29m24s  vertex
 19h11m20.0s -32d34m42s  vertex
 19h11m10.0s -32d40m00s  vertex
 19h11m01.0s -32d45m18s  vertex
 19h10m51.0s -32d50m36s  vertex
 19h11m08.0s -32d58m04s  vertex
 19h11m25.0s -33d05m31s  vertex
 19h11m15.0s -33d10m49s  vertex
 19h11m05.0s -33d16m07s  vertex
 19h10m56.0s -33d21m25s  vertex
 19h10m46.0s -33d26m43s  vertex
 19h10m36.0s -33d32m01s  vertex
 19h10m27.0s -33d37m20s  vertex
 19h10m44.0s -33d44m46s  vertex
 19h11m01.0s -33d52m12s  vertex
 19h10m52.0s -33d57m30s  vertex
 19h10m42.0s -34d02m48s  vertex
 19h10m32.0s -34d08m06s  vertex
 19h10m22.0s -34d13m25s  vertex
 19h10m13.0s -34d18m43s  vertex
 19h10m03.0s -34d24m01s  vertex
 19h10m21.0s -34d31m26s  vertex
 19h10m38.0s -34d38m51s  vertex
 19h10m29.0s -34d44m09s  vertex
 19h10m19.0s -34d49m27s  vertex
 19h10m09.0s -34d54m46s  vertex
 19h10m00.0s -35d00m04s  vertex
 19h09m50.0s -35d05m22s  vertex
 19h09m40.0s -35d10m40s  vertex
 19h09m30.0s -35d15m59s  vertex
 19h09m21.0s -35d21m17s  vertex
 19h09m11.0s -35d26m35s  vertex
 19h09m01.0s -35d31m54s  vertex
 19h08m52.0s -35d37m12s  vertex
 19h08m42.0s -35d42m31s  vertex
 19h08m32.0s -35d47m49s  vertex
 19h08m22.0s -35d53m08s  vertex
 19h08m13.0s -35d58m26s  vertex
 19h08m03.0s -36d03m45s  vertex
 19h07m53.0s -36d09m03s  vertex
 19h07m43.0s -36d14m22s  vertex
 19h07m34.0s -36d19m40s  vertex
 19h07m24.0s -36d24m59s  vertex
 19h07m14.0s -36d30m17s  vertex
 19h07m04.0s -36d35m36s  vertex
 19h06m54.0s -36d40m55s  vertex
 19h06m45.0s -36d46m13s  vertex
 19h06m35.0s -36d51m32s  vertex
 19h06m25.0s -36d56m51s  vertex
 19h06m15.0s -37d02m09s  vertex
 19h05m37.0s -37d05m23s  vertex
 16h35m45.0s -17d36m15s  end
 16h58m22.0s -15d41m33s  start      5
 16h58m56.0s -15d40m17s  vertex
 16h59m30.0s -15d39m00s  vertex
 16h59m44.0s -15d34m17s  vertex
 16h59m58.0s -15d29m33s  vertex
 17h00m32.0s -15d28m14s  vertex
 17h01m06.0s -15d26m56s  vertex
 17h01m20.0s -15d22m11s  vertex
 17h01m33.0s -15d17m26s  vertex
 17h02m07.0s -15d16m05s  vertex
