1384879|TX|Austin|ppl|Travis|48|453|301601N|0974434W|30.26694|-97.74278|||||501|656562|BGN 1931|Austin East
1454997|UT|Salt Lake City|ppl|Salt Lake|49|035|404539N|1115325W|40.76083|-111.89028|||||4266|181743|BGN 1931|Salt Lake City North
1461834|VT|Montpelier|ppl|Washington|50|023|441536N|0723433W|44.26|-72.57583|||||525|8035|BGN 1931|Montpelier
1499957|VA|Richmond|ppl|Richmond (city)|51|760|373313N|0772738W|37.55361|-77.46056|||||190|197790|BGN 1931|Richmond
1533353|WA|Olympia|ppl|Thurston|53|067|470217N|1225358W|47.03806|-122.89944|||||130|42514|BGN 1931|Tumwater
1558347|WV|Charleston|ppl|Kanawha|54|039|382059N|0813758W|38.34972|-81.63278|||||606|53421|BGN 1931|Charleston West
1581834|WI|Madison|ppl|Dane|55|025|430423N|0892404W|43.07306|-89.40111|||||863|208054|BGN 1931|Madison West
1609077|WY|Cheyenne|ppl|Laramie|56|021|410824N|1044911W|41.14|-104.81972|||||6067|53011|BGN 1931|Cheyenne North
1401892|AK|Ester Dome Observatory|locale|Fairbanks North Star|02|090|645246N|1480310W|64.87944|-148.05278|||||2384|||Fairbanks D-3 NE
1417086|AK|USGS Magnectic Observatory|locale|Sitka City and Borough|02|220|570327N|1351924W|57.0575|-135.32333||||||||Sitka A-4 SW
2855|AZ|China Peak Observatory|locale|Graham|04|009|324342N|1101749W|32.72833|-110.29694|||||4782|||Kennedy Peak
27815|AZ|College Observatory|locale|Coconino|04|005|351103N|1113909W|35.18417|-111.6525|||||6897|||Flagstaff West
6727|AZ|Kitt Peak National Observatory|locale|Pima|04|019|315736N|1113551W|31.96|-111.5975||||||||Kitt Peak
31334|AZ|Lowell Observatory|locale|Coconino|04|005|351211N|1113950W|35.20306|-111.66389|||||7196|||Flagstaff West
8439|AZ|Mummy Mountain Observatory|locale|Maricopa|04|013|333319N|1115742W|33.55528|-111.96167|||||1649|||Paradise Valley
36846|AZ|Smithsonian Astrophysical Observatory|locale|Santa Cruz|04|023|314110N|1105245W|31.68611|-110.87917|||||7725|||Mount Hopkins
11835|AZ|Steward Observatory|locale|Pima|04|019|315744N|1113559W|31.96222|-111.59972||||||||Kitt Peak
37571|AZ|University of Arizona Observatory|locale|Pima|04|019|322501N|1104400W|32.41694|-110.73333|||||8214|||Mount Bigelow
269809|CA|Big Bear Solar Observatory|locale|San Bernardino|06|071|341530N|1165513W|34.25833|-116.92028||||||||Fawnskin
1657231|CA|Bradley Young Observatory|locale|Napa|06|055|383439N|1222541W|38.5775|-122.42806|||||1900|||Saint Helena
220867|CA|Chabot Observatory|locale|Alameda|06|001|374714N|1221037W|37.78722|-122.17694||||||||Oakland East
243036|CA|Griffith Observatory|locale|Los Angeles|06|037|340707N|1181758W|34.11861|-118.29944||||||||Hollywood
1733524|CA|Mount Wilson Observatory|locale|Los Angeles|06|037|341333N|1180323W|34.22583|-118.05639||||||||Mount Wilson
229526|CA|Newton Observatory|locale|Napa|06|055|383420N|1222558W|38.57222|-122.43278||||||||Saint Helena
1667241|CA|Owens Valley Radio Observatory|locale|Inyo|06|027|371400N|1181658W|37.23333|-118.28278||||||||Big Pine
1654756|CA|Polomar Observatory|locale|San Diego|06|073|332116N|1165138W|33.35444|-116.86056||||||||Palomar Observatory
273769|CA|Smithsonian Observatory|locale|Los Angeles|06|037|342255N|1174038W|34.38194|-117.67722||||||||Mescal Creek
1661874|CA|University of California Observatory|locale|Shasta|06|089|404903N|1212805W|40.8175|-121.46806||||||||Murken Bench
184837|CO|Chamberlain Observatory|locale|Denver|08|031|394033N|1045709W|39.67583|-104.9525|||||5389|||Englewood
1986973|CO|Fritz Peak Observatory|locale|Gilpin|08|047|395435N|1052926W|39.90972|-105.49056||||||||Tungsten
181057|CO|University of Colorado Observatory|locale|Boulder|08|013|395649N|1053101W|39.94694|-105.51694||||||||Nederland
531916|DC|Georgetown University Observatory|locale|District of Columbia|11|001|385443N|0770438W|38.91194|-77.07722||||||||Washington West
529065|DC|Old Naval Observatory|locale|District of Columbia|11|001|385343N|0770307W|38.89528|-77.05194||||||||Washington West
531845|DC|United States Naval Observatory|locale|District of Columbia|11|001|385517N|0770400W|38.92139|-77.06667||||||||Washington West
325882|GA|Bradley Observatory|locale|DeKalb|13|089|334554N|0841737W|33.765|-84.29361||||||||Northeast Atlanta
1389709|GU|Guam Observatory|locale|Guam|66|010|133517N|1445157E|13.58806|144.86583||||||||Ritidian Point
