1657231	Bradley Young Observatory	locale	CA		Napa		383439N	1222541W	38.5775	-122.42806					579	
220867	Chabot Observatory	locale	CA		Alameda		374714N	1221037W	37.78722	-122.17694					0	
243036	Griffith Observatory	locale	CA		Los Angeles		340707N	1181758W	34.11861	-118.29944					0	
1733524	Mount Wilson Observatory	locale	CA		Los Angeles		341333N	1180323W	34.22583	-118.05639					0	
229526	Newton Observatory	locale	CA		Napa		383420N	1222558W	38.57222	-122.43278					0	
1667241	Owens Valley Radio Observatory	locale	CA		Inyo		371400N	1181658W	37.23333	-118.28278					0	
1654756	Polomar Observatory	locale	CA		San Diego		332116N	1165138W	33.35444	-116.86056					0	
273769	Smithsonian Observatory	locale	CA		Los Angeles		342255N	1174038W	34.38194	-117.67722					0	
1661874	University of California Observatory	locale	CA		Shasta		404903N	1212805W	40.8175	-121.46806					0	
184837	Chamberlain Observatory	locale	CO		Denver		394033N	1045709W	39.67583	-104.9525					1643	
1986973	Fritz Peak Observatory	locale	CO		Gilpin		395435N	1052926W	39.90972	-105.49056					0	
181057	University of Colorado Observatory	locale	CO		Boulder		395649N	1053101W	39.94694	-105.51694					0	
531916	Georgetown University Observatory	locale	DC		District of Columbia		385443N	0770438W	38.91194	-77.07722					0	
529065	Old Naval Observatory	locale	DC		District of Columbia		385343N	0770307W	38.89528	-77.05194					0	
531845	United States Naval Observatory	locale	DC		District of Columbia		385517N	0770400W	38.92139	-77.06667					0	
325882	Bradley Observatory	locale	GA		DeKalb		334554N	0841737W	33.765	-84.29361					0	
1389709	Guam Observatory	locale	GU		Guam		133517N	1445157E	13.58806	144.86583					0	
359337	Honolulu Observatory	locale	HI		Honolulu		211910N	1580006W	21.31944	-158.00167					0	
1847264	Mauna Loa Observatory	locale	HI		Hawaii		193221N	1553444W	19.53917	-155.57889					0	
364372	University of Hawaii Solar Observatory	locale	HI		Honolulu		211815N	1573916W	21.30417	-157.65444					0	
1825159	Luther College Observatory	locale	IA		Winneshiek		432415N	0914708W	43.40417	-91.78556					0	
462487	University of Iowa Observatory	locale	IA		Johnson		413051N	0913335W	41.51417	-91.55972					0	
1866878	Dearborn Observatory	locale	IL		Cook		420323N	0874032W	42.05639	-87.67556					0	
1822537	Mark Evans Observatory	locale	IL		McLean		402930N	0885926W	40.49167	-88.99056					0	
1807773	Prairie Observatory	locale	IL		Douglas		394206N	0880312W	39.70167	-88.05333					0	
452327	Goethe Link Observatory	locale	IN		Morgan		393258N	0862343W	39.54944	-86.39528					0	
603129	Harvard Observatory	locale	MA		Middlesex		422250N	0710743W	42.38056	-71.12861					0	
604082	Harvard University Observatory	locale	MA		Worcester		423020N	0713329W	42.50556	-71.55806					0	
605984	John Hancock Observatory	locale	MA		Suffolk		422107N	0710427W	42.35194	-71.07417					0	
604179	Loines Observatory	locale	MA		Nantucket		411643N	0700643W	41.27861	-70.11194					0	
1912187	Blueberry Pond Observatory	locale	ME		Hancock		435420N	0700909W	43.90556	-70.1525					0	
1912655	Little Diamond Island Observatory	locale	ME		Cumberland		434000N	0701217W	43.66667	-70.20472					0	
1913697	Maynard F Jordan Planetarium and Observatory	locale	ME		Penobscot		445355N	0684024W	44.89861	-68.67333					0	
1912915	Portland Observatory	locale	ME		Cumberland		433955N	0701450W	43.66528	-70.24722					0	
631992	McMath-Hulbert Observatory	locale	MI		Oakland		424151N	0831909W	42.6975	-83.31917					0	
632215	Michigan State University Observatory	locale	MI		Ingham		424224N	0842901W	42.70667	-84.48361					0	
661095	Darling Observatory	locale	MN		St. Louis		464648N	0920644W	46.78	-92.11222					0	
755328	Morrison Observatory	locale	MO		Howard		390906N	0924148W	39.15167	-92.69667					0	
671808	James Observatory	locale	MS		Hinds		321929N	0901057W	32.32472	-90.1825					0	
1892926	Behlen Observatory	locale	NE		Dodge		412612N	0962919W	41.43667	-96.48861					0	
1882574	Boswell Observatory	locale	NE		Saline		403721N	0965603W	40.6225	-96.93417					0	
1884590	Observatory	locale	NE		Adams		403543N	0982208W	40.59528	-98.36889					0	
1916818	Shattuck Observatory	locale	NH		Grafton		434218N	0721710W	43.705	-72.28611					0	
1915840	Weston Observatory	locale	NH		Hillsborough		430004N	0712622W	43.00111	-71.43944					0	
936624	Apache Point Observatory	locale	NM		Otero		324643N	1054848W	32.77861	-105.81333					2778	
928889	Capilla Peak Observatory	locale	NM		Torrance		344152N	1062415W	34.69778	-106.40417					0	
935718	Clyde W Tombaugh Observatory	locale	NM		Doña Ana		321844N	1064640W	32.31222	-106.77778					0	
933318	National Radio Astronomy Observatory	locale	NM		Socorro		340358N	1065422W	34.06611	-106.90611					0	
974693	Lamont Observatory	locale	NY		Rockland		410015N	0735430W	41.00417	-73.90833					0	
960196	Perkins Memorial Observatory	locale	NY		Orange		411840N	0740027W	41.31111	-74.0075					0	
1806888	Abbe Meteorological Observatory	locale	OH		Hamilton		390921N	0843054W	39.15583	-84.515					0	
1084688	Burrell Observatory	locale	OH		Cuyahoga		412232N	0815105W	41.37556	-81.85139					0	
1038856	Case Observatory	locale	OH		Cuyahoga		413210N	0813407W	41.53611	-81.56861					0	
1044378	Perkins Observatory	locale	OH		Delaware		401503N	0830321W	40.25083	-83.05583					0	
1047361	University Of Cincinnati Observatory	locale	OH		Hamilton		390819N	0842522W	39.13861	-84.42278					0	
1084853	Weaver Observatory	locale	OH		Clark		395607N	0834859W	39.93528	-83.81639					0	
1140608	Dam Observatory	locale	OR		Jefferson		443603N	1211627W	44.60083	-121.27417					0	
1140783	Dee Wright Observatory	locale	OR		Deschutes		441538N	1214802W	44.26056	-121.80056					1623	
1147719	Pine Mountain Observatory	locale	OR		Deschutes		434731N	1205627W	43.79194	-120.94083					0	
1206534	Airglow Observatory	locale	PA		Somerset		400752N	0790952W	40.13111	-79.16444					829	
1168171	Allegheny Observatory	locale	PA		Allegheny		402857N	0800113W	40.4825	-80.02028					0	
1903505	Fox Point Observatory	locale	RI		Providence		414856N	0712403W	41.81556	-71.40083					0	
