0125P         2007 08 10.7346  1.523564  0.512696   87.3353  153.1954    9.9859  20071027  13.0  6.0  125P/Spacewatch
0128P         2007 06 13.5967  3.068884  0.319966  210.4394  214.4174    4.3551  20071027   8.5  4.0  128P/Shoemaker-Holt
0129P         2005 06 15.5576  2.813745  0.253255  184.6146  302.4338    5.0868  20071027  11.0  4.0  129P/Shoemaker-Levy
0135P         2007 05 30.6763  2.710904  0.291472   22.2572  213.2738    6.0513  20071027   7.0  8.0  135P/Shoemaker-Levy
0136P         2007 10 22.1963  2.960636  0.292963  224.8589  137.5609    9.4274  20071027  11.0  4.0  136P/Mueller
0137P         2009 05 13.2482  1.904662  0.576654  140.9206  233.3235    4.8778  20071027  11.0  4.0  137P/Shoemaker-Levy
0139P         2008 04 19.4451  3.402760  0.246329  165.5383  242.4522    2.3297  20071027   9.5  4.0  139P/Vaisala-Oterma
0143P         2009 06 12.0180  2.538022  0.410352  320.7158  245.3879    4.6903  20071027  13.5  2.0  143P/Kowal-Mrkos
0146P         2008 05 21.3404  1.417530  0.648200  316.8066   53.5806   23.0822  20071027  15.0  4.0  146P/Shoemaker-LINEAR
0148P         2008 05 22.7822  1.702690  0.537830    6.6943   89.8036    3.6784  20071027  16.0  2.0  148P/Anderson-LINEAR
0150P         2008 11 26.0107  1.767286  0.545986  245.6901  272.4309   18.5007  20071027  13.5  4.0  150P/LONEOS
0152P         2012 07  7.6251  3.108525  0.308756  163.8600   91.9622    9.8733  20071027  11.5  4.0  152P/Helin-Lawrence
0156P         2007 06 17.3642  1.593097  0.557680  357.6778   39.0485   20.7474  20071027  15.5  2.0  156P/Russell-LINEAR
0157P         2010 02 22.6928  1.395922  0.595293  147.6641  300.2290    7.1986  20071027  10.0  4.0  157P/Tritton
0158P         2012 09 26.1735  4.586211  0.028523  232.3977  137.3054    7.9083  20071027   9.0  4.0  158P/Kowal-LINEAR
0159P         2004 03  1.4981  3.648702  0.379544    4.8375   55.1398   23.4259  20071027  10.0  4.0  159P/LONEOS
0166P         2002 05 12.5378  8.550917  0.381206  321.4805   64.4834   15.3800  20071027   5.5  4.0  166P/NEAT
0167P         2001 04 30.4438 11.794159  0.273751  344.2120  295.7776   19.0910  20071027   9.5  2.0  167P/CINEOS
0172P         2008 10 12.7054  2.240714  0.362016  178.9489   40.0957   11.5172  20071027  13.0  4.0  172P/Yeung
0173P         2008 05 18.7340  4.214384  0.261314   29.8627  100.5699   16.4959  20071027   7.5  4.0  173P/Mueller
0174P         2015 04 19.2118  5.849641  0.456914  162.3793  173.3347    4.3376  20071027   9.5  2.0  174P/Echeclus
0176P         2005 10 17.9274  2.579132  0.192655   36.0424  346.5395    0.2379  20071027  15.0  2.0  176P/LINEAR
0179P         2007 12  2.9772  4.086886  0.307837  295.4598  115.8523   19.8745  20071027   2.5  8.0  179P/Jedicke
0180P         2008 05 26.6619  2.468733  0.357830   94.9006   84.7549   16.9135  20071027  11.0  4.0  180P/NEAT
0181P         2006 11 25.0124  1.127260  0.706705  333.5545   37.8633   16.9266  20071027  11.5  4.0  181P/Shoemaker-Levy
0183P         2008 05  9.0927  3.893972  0.136113  161.6701    5.8486   18.7276  20071027  12.5  2.0  183P/Korlevic-Juric
0186P         2008 03 19.8951  4.263554  0.117864  278.6549  327.8722   28.8437  20071027   7.5  4.0  186P/Garradd
0187P         2008 10  5.6592  3.693696  0.170142  131.8539  112.0033   13.7323  20071027   9.0  4.0  187P/LINEAR
0188P         2007 12 16.1395  2.552137  0.415858   26.4349  359.1501   10.5463  20071027  11.5  4.0  188P/LINEAR-Mueller
0190P         2007 07  8.2051  2.031918  0.520767   49.7346  336.1176    2.1899  20071027  13.0  4.0  190P/Mueller
0191P         2007 09 13.1020  2.047920  0.420103  274.1686  106.5279    8.7611  20071027  13.0  4.0  191P/McNaught
0192P         2007 12 17.3351  1.460073  0.773603  312.8429   51.6504   24.5611  20071027  15.0  4.0  192P/Shoemaker-Levy
0193P         2008 02 20.4642  2.155772  0.396097    8.2744  335.2586   10.7033  20071027  14.0  4.0  193P/LINEAR-NEAT
0194P         2008 02 26.1934  1.708743  0.574230  130.6385  352.0682   11.1179  20071027  16.0  4.0  194P/LINEAR
0195P         2009 01 21.4700  4.438078  0.315110  249.6596  243.2618   36.3684  20071027   8.5  4.0  195P/Hill
    PJ94J030  2009 04 11.7195  2.935875  0.507063  191.9468   92.9461   24.7685  20071027  10.0  4.0  P/1994 J3 (Shoemaker)
    CJ95O010  1997 03 30.6507  0.923427  0.994984  130.7390  282.9153   89.2290  20071027  -2.0  4.0  C/1995 O1 (Hale-Bopp)
    PJ97V010  2008 08 27.0931  3.272531  0.333482  133.7182  234.8211   12.1218  20071027   9.0  4.0  P/1997 V1 (Larsen)
    PJ98Q54P  2007 05 12.1954  1.879923  0.552152   30.3393  341.8073   17.7109  20071027  15.0  2.0  P/1998 QP54 (LONEOS-Tucker)
    PJ98U040  2012 04 27.4481  3.858844  0.308928  251.8026  181.6810   31.4851  20071027   8.0  4.0  P/1998 U4 (Spahr)
    PJ98V24S  2008 05 24.7693  3.422534  0.241915  244.3856  159.1891    5.0267  20071027  13.0  2.0  P/1998 VS24 (LINEAR)
    PJ99W07J  2010 02  8.8831  3.183522  0.314272  154.5525  290.5636    2.9762  20071027  14.5  2.0  P/1999 WJ7 (Korlevic)
    PJ99XC0N  2008 11 13.0255  3.303687  0.210503  161.6993  285.4512    5.0263  20071027  13.5  2.0  P/1999 XN120 (Catalina)
    PK00B030  2008 02 26.0328  1.708733  0.574217  130.6385  352.0686   11.1178  20071027  16.0  4.0  P/2000 B3 (LINEAR)
    PK00U060  2008 02  7.3216  2.137900  0.433785   11.7166   24.3424   19.3794  20071027  13.5  4.0  P/2000 U6 (Tichy)
    PK00Y030  2011 12 27.3993  4.007687  0.198312   87.3774  354.6253    2.2535  20071027   9.0  4.0  P/2000 Y3 (Scotti)
    PK01C08V  2008 10 11.3808  2.159697  0.444315  151.6117  359.9031    9.0356  20071027  13.0  4.0  P/2001 CV8 (LINEAR)
    CK01Q040  2004 05 16.0856  0.964852  1.000989    1.2996  210.3103   99.5929  20071027   3.5  4.0  C/2001 Q4 (NEAT)
