HD198478   20  48   56.29119     46      6  50.8824    B2.5Ia                           4.858
HD199478   20  55   49.80412     47     25   3.5627    B8Iae                            5.727
HD201601   21  10   20.50005     10      7  53.6763    A9p                              4.712
HD202671   21  17   57.28644    -17     59   6.5001    B5II/III                          5.39
HD204041   21  25   51.58374     00     32   3.6209    A1IV                             6.468
HD204754   21  28   52.73785     55     25   7.3227    B8III                            6.145
HD205021   21  28   39.59685     70     33  38.5747    B2IIIev                          3.216
HD206165   21  37   55.22469     62      4  54.9825    B2Ib                             4.788
HD207260   21  45   26.92478     61      7  14.8999    A2Iab:                           4.312
HD207330   21  46   47.60832     49     18  34.4511    B3III                             4.18
HD207673   21  49   40.09401     41      8  55.6256    A2Ib                             6.492
HD208501   21  54   53.15493     56     36  40.4167    B8Ib                              5.81
HD209459   22   3   19.03215     11     23  11.5765    B9.5V                            5.824
HD210424   22  10   37.48206    -11     33  53.7754    B5III                            5.425
HD212454   22  23    0.18739     57     17   4.6082    B8III-IV                         6.169
HD213307   22  29    9.24825     58     24  14.7563    A0                                 6.3
HD213470   22  30   18.70348     57     13  31.6056    A3Ia...                          6.696
HD214080   22  36    6.43681    -16     23   16.759    B1/B2Ib                          6.818
HD214994   22  41   45.40961     29     18  27.4918    A1IV                             4.797
HD216831   22  55   44.50734     36     21   5.0028    B7III                            5.728
HD216916   22  56   23.62966     41     36  13.9438    B2IV                             5.584
HD220575   23  24   34.90854     41      6  46.4573    B8III                             6.72
HD220825   23  26   55.95586     01     15    20.19    A0p...                           4.927
HD220933   23  27   40.38665     25     10   2.2078    A0mnp...                         5.986
HD221756   23  34   37.53718     40     14  11.1794    A1III                            5.564
HD223385   23  48   50.17052     62     12  52.2577    A3Iae                             5.55
HD223640   23  51   21.33832    -18     54  32.9937    Ap...                            5.176
