HD029065   4   34   11.77049    -08     58  12.9164    K4III                             5.245
HD029139   4   35   55.23907     16     30  33.4885    K5III                             0.985
HD030504   4   49   54.63946     37     29  17.7936    K4III                             4.884
HD030649   4   51   43.55721     45     50    2.971    G1V-VI                             6.97
HD030743   4   49   42.24404    -13     46  10.8085    F6VFe-0.9CH-0.5                    6.26
HD030834   4   52   37.98071     36     42  11.4635    K3III                             4.787
HD030959   4   52   31.96357     14     15   2.3215    M3                                4.752
HD031295   4   54   53.72877     10      9   2.9952    A0V                               4.656
HD031767   4   58    32.9021     01     42  50.4582    K2II                              4.474
HD032147   5    0   48.99977    -05     45  13.2303    K3V                                6.22
HD032655   5    6   49.55456     43     10  28.9392    F2IIp...                          6.216
HD033256   5    8   43.69957    -04     27   22.342    F2V                               5.128
HD033276   5    9    41.9577     15     35   50.041    F2IV                              4.818
HD033608   5   11   19.17681    -02     29  26.8173    F5.5IV-V                          5.904
HD034411   5   19     8.4742     40      5  56.5826    G1.5IV-V                            4.7
HD034538   5   17   40.24172    -13     31  11.3787    G8IV                              5.493
HD035155   5   22   18.64493    -08     39  58.0295    S...                               6.87
HD035296   5   24    25.4638     17     23   0.7166    F8V                                   5
HD035369   5   23   56.82768    -07     48  29.0332    G8III                             4.144
HD035620   5   27   38.88605     34     28  33.2123    K3IIICN+...                       5.072
HD037160   5   36   54.38819     09     17  26.4096    K0IIIb                             4.09
HD037394   5   41    20.3348     53     28  51.8045    K1V                                6.23
HD037536   5   40   42.05023     31     55   14.192    M2Iabs                            6.242
HD037828   5   40   54.64514    -11     12   0.1912    K0                                6.877
HD037984   5   42   28.63276     01     28  28.6656    K1III                             4.906
HD038007   5   45    29.8728     52      9  39.8562    G0                                6.855
HD038392   5   44     26.543    -22     25    18.77    K2V                                6.15
HD038393   5   44   27.79089    -22     26  54.1808    F6V                                 3.6
HD038545   5   47   13.15363     14     29  17.9674    A3Vn                              5.725
HD038656   5   49   10.43826     39     10  51.8627    G8III                               4.5
HD038751   5   49    0.96598     24     34    3.122    G8III-IV                          4.894
HD039364   5   51   19.29613    -20     52  44.7232    K1IVFe-0.5                         3.81
HD039801   5   55   10.30536     07     24  25.4304    M2Iab:                             0.42
HD039853   5   54   43.63033    -11     46  27.0989    K5III                             5.635
HD039970   5   56   56.11893     24     14  58.8803    A0Ia                              6.045
HD040657   6    0    3.34974    -03      4  27.3196    K1.5III                            4.54
HD041117   6    3   55.18482     20      8  18.4316    B2Iaev                            4.646
HD041312   6    3   15.60457    -26     17   4.3555    K3III                             5.045
HD041597   6    9   59.01392     58     56   8.4974    G8III                             5.359
HD041636   6    8   23.13611     41      3  20.6194    G9III                             6.348
HD041692   6    6   38.73583    -04     11  37.8108    B5IV                              5.359
HD042543   6   12   19.09863     22     54  30.6424    M0Iab:                             6.38
HD043042   6   14   50.87581     19      9  23.1988    F6V                                 5.2
HD043318   6   15   34.26536     00     30  43.8773    F6V                                5.65
HD043378   6   19   37.38458     59      0  39.4683    A2Vs                              4.446
HD043380   6   18   16.86503     46     21  37.5934    K2III                             6.334
HD043947   6   19   40.17413     16      0  47.6994    F8V                               6.632
HD045829   6   30    2.29451     07     55  16.0096    K0Iab                              6.65
HD047205   6   36   41.03758    -19     15  21.1659    K1III                              3.95
HD047914   6   43    4.97107     44     31   28.022    K5III                             5.048
HD048329   6   43   55.92626     25      7  52.0515    G8Ib                              3.019
HD048433   6   43   59.29265     13     13   40.871    K1III                               4.5
HD048682   6   46   44.33818     43     34  38.7268    G0V                               5.252
HD049161   6   47   19.83031     08      2  14.1154    K4III                             4.781
HD049331   6   47   37.22071    -08     59  54.6122    M1Iab:                            5.109
HD049933   6   50    49.8318     00     32  27.1701    F2V                               5.783
HD050420   6   55    14.6578     43     54  36.1079    A9III                             6.161
HD050778   6   54   11.39877    -12      2  19.0674    K4III                             4.086
HD051440   6   59    2.84545     38      3    8.339    K2III                             6.025
HD052005   7    0   15.82424     16      4  44.3959    K4Iab                             5.733
HD052973   7    4    6.53079     20     34  13.0739    G0Ibv                              4.01
HD054605   7    8   23.48405    -26     23  35.5185    F8Iab:                            1.842
HD054719   7   11    8.37042     30     14  42.5831    K2III                             4.398
HD054810   7   10   13.68165    -04     14  13.5861    K0III                              4.92
HD055575   7   15   50.13823     47     14  23.8672    G0V                               5.554
HD056577   7   16   36.83423    -23     18  56.1398    K4III                             4.836
HD057060   7   18    40.3794    -24     33  31.3206    O7e...                             4.98
HD057061   7   18   42.48642    -24     57  15.7413    O9Ib                               4.39
HD057264   7   22    2.61868     36     45   38.105    G8III                              5.14
HD058207   7   25   43.59532     27     47  53.0929    G9IIIb                            3.793
HD058551   7   26   50.25212     21     32   8.3207    F6V                                6.54
HD059612   7   29   51.41199    -23      1  27.4317    A6Ib/II                            4.84
HD059881   7   32    5.94912     01     54  52.1263    F0III                             5.245
HD059984   7   32    5.76289    -08     52  52.7762    G0VFe-1.6CH-0.5                   5.933
HD060179   7   34     35.863     31     53    17.79    A1V                                1.93
HD060522   7   35    55.3497     26     53  44.6751    M0III                              4.08
HD061064   7   37   16.68985    -04      6  39.5373    F6III                             5.143
HD061603   7   40   58.51856     23      1   6.7037    K5III                             5.932
HD061772   7   40   23.21132    -15     15  50.1035    K3III                             4.981
HD061913   7   42    3.21819     14     12  30.6097    M3II-III                          5.585
HD061935   7   41   14.83257    -09     33   4.0711    G9III                              3.93
HD062301   7   44    56.1923     39     33  22.9152    F8V                                6.75
HD062345   7   44   26.85357     24     23  52.7872    G8IIIa                             3.57
HD062721   7   46    7.44709     18     30  36.1545    K4III                             4.884
HD063302   7   47   38.52689    -15     59  26.4808    K2Iab:                            6.332
HD063352   7   49    1.83693     13     22  18.7273    K0III                             6.084
HD065228   7   56     51.539    -22     52   48.434    F7/F8II                           4.204
HD065583   8    0   32.12893     29     12  44.4716    G8V                                6.94
HD065714   8    0   55.87292     25     23  34.2181    G8III                             5.868
HD065900   8    1   13.89137     04     52  47.3631    A1V                               5.646
HD065953   8    1   13.33574    -01     23  33.3935    K4III                             4.692
HD066141   8    2   15.93659     02     20   4.4522    K2III                             4.396
HD067228   8    7   45.85574     21     34  54.5441    G1IV                              5.304
HD067523   8    7   32.64882    -24     18  15.5679    F6IIp...                           2.81
HD069267   8   16   30.92101     09     11   7.9579    K4III                              3.52
HD069830   8   18   23.94706    -12     37  55.8116    G8+V                               5.95
HD069897   8   20    3.86158     27     13   3.7416    F6V                                 5.1
HD070272   8   22      50.11     43     11  17.2724    K4.5III                           4.258
HD071030   8   25   49.87648     17      2  46.5632    F6V                                 6.1
HD072184   8   32   54.97938     38      0  58.9358    K2III                               5.9
HD072324   8   33    0.10385     24      5    5.256    G9III                             6.341
HD072660   8   34    1.61816    -02      9    5.583    A1V                               5.799
HD072905   8   39    11.7044     65      1  15.2667    G1.5Vb                            5.645
HD073471   8   38   45.43747     03     20  29.1701    K1III                             4.452
HD073593   8   41     1.0701     45     50   2.4215    G8IV                              5.372
HD073665   8   40    6.41788     20      0  28.0409    G8III                              6.38
HD073898   8   39    42.4741    -29     33  39.8989    G4III                             4.886
HD074395   8   43   40.37345    -07     14   1.4323    G1Ib                              4.642
HD074442   8   44   41.09921     18      9  15.5034    K0III                              3.94
HD075691   8   50   31.92282    -27     42  35.4421    K3III                             4.026
HD075732   8   52   35.81093     28     19  50.9511    G8V                                5.95
HD076151   8   54   17.94805    -05     26   4.0583    G3V                                   6
HD076292   8   56   30.51623     40     12   5.3045    F3III                              5.88
HD076813   8   59   32.65432     32     25   6.8093    G9III                             5.233
HD076932   8   58    43.9331    -16      7  57.8137    G2VFe-1.8CH-1                      5.86
HD078209   9    8   52.25763     51     36   16.733    A1m                                 4.5
HD078234   9    8    4.15592     32     32  25.4433    F2V                                6.46
HD078541   9    8    2.88045    -25     51  30.7303    K4/K5III                           4.58
HD078732   9    9   35.56955    -08     47  15.5239    G8II                               5.46
HD079452   9   15   14.24613     34     38   0.6567    G6III                             5.992
HD080390   9   21   43.28613     56     41  57.1895    M4IIIa                             5.47
HD081009   9   22   50.85634    -09     50  19.6592    A5spe...                          6.516
HD081192   9   24     45.336     19     47  11.8667    G7III                             6.539
HD081797   9   27    35.2427    -08     39  30.9583    K3II-III                          2.004
HD081817   9   37    5.28778     81     19  34.9711    DA3+K3                            4.272
HD082074   9   29   32.41575    -04     14  47.8878    G6IV                               6.26
HD082210   9   34   28.85999     69     49  49.2312    G4III-IV                          4.565
HD082734   9   33   12.45966    -21      6  56.6018    K0III                             5.008
HD082885   9   35   39.50337     35     48  36.4874    G8IIIv                             5.34
HD083425   9   38   27.28962     04     38  57.4461    K3III                             4.681
HD083506   9   42   57.18589     72     15   9.4262    K0III                             5.149
HD083618   9   39   51.36145    -01      8  34.1135    K2.5III                           3.909
HD084441   9   45    51.0733     23     46  27.3208    G1II                              2.975
HD084737   9   48    35.3709     46      1  15.6312    G0.5Va                              5.1
HD085235   9   52    6.35437     54      3  51.5962    A3IV                               4.56
HD085503   9   52   45.81654     26      0  25.0319    K2III                              3.88
HD087141  10    4   36.32291     53     53  30.1701    F5V                               5.722
HD087737  10    7   19.95186     16     45  45.5803    A0Ib                              3.511
HD087822  10    8   15.88717     31     36  14.5875    F4V                               6.236
HD088230  10   11   22.14051     49     27  15.2567    K8V                                6.61
HD088737  10   14   29.74719     21     10   5.0091    F9V                               6.031
HD088986  10   16   28.08312     28     40  56.9279    G0V                                6.47
HD089010  10   16   32.28876     23     30  11.1448    G1.5IV-V                            5.9
HD089254  10   17     37.802    -08      4   8.0898    F2III                             5.246
HD089449  10   19   44.16688     19     28  15.2943    F6IV                                4.8
HD089484  10   19     58.427     19     50    28.53    K1IIIb                             2.12
HD089744  10   22   10.56268     41     13  46.3107    F7V                               5.741
HD089995  10   23   14.61317     05     41  39.3333    F6V                                6.54
HD090508  10   28    3.88212     48     47   5.6554    G1V                                6.44
HD091889  10   36   32.38294    -12     13  48.4377    F8V                                 5.7
HD092523  10   43    4.03997     69      4  34.3698    K3III                             5.006
HD095128  10   59   27.97282     40     25  48.9202    G1V                                5.04
HD095578  11    1   49.67462    -02     29   4.5007    M0III                             4.737
HD097633  11   14   14.40446     15     25  46.4541    A2V                               3.324
HD097855  11   16    4.03305     52     46  23.3762    F6V+...                           6.497
HD097907  11   15   51.89978     13     18  27.2682    K3III                             5.319
HD099648  11   27   56.23976     02     51  22.5609    G8Iab:                             4.95
HD099747  11   29    4.56235     61     46  42.1225    F5Vawv                              5.8
HD099998  11   30   18.89303    -03      0  12.5905    K3.5III                           4.771
HD101501  11   41    3.01636     34     12   5.8843    G8V                                5.32
HD101606  11   41   34.25977     31     44  45.7994    F4V                                 5.7
HD102224  11   46    3.01407     47     46  45.8626    K0.5IIIb                          3.707
HD102328  11   46   55.62214     55     37  41.4853    K3III                              5.26
HD102634  11   49    1.28242     00     19   7.2185    F6V                                6.15
HD102870  11   50   41.71824     01     45   52.991    F9V                                3.61
HD103095  11   52   58.76931     37     43   7.2343    G8Vp                               6.45
HD103578  11   55   40.53346     15     38  48.5432    A3V                               5.531
HD103877  11   57   42.39461     17     28   4.2039    Am                                 6.78
HD103932  11   57   56.20688    -27     42  25.3697    K4+V                              6.964
HD104304  12    0   44.45136    -10     26  45.6527    G8IV                               5.54
HD104307  12    0   42.22233    -21     50  15.0061    K2III                             6.264
HD105452  12    8   24.81652    -24     43  43.9504    F1V                                   4
HD106516  12   15   10.55731    -10     18  44.6354    F9VFe-1.7CH-0.7                    6.11
HD107113  12   16   51.33677     86     26   8.9484    F4V                                6.33
HD107213  12   19   29.52592     28      9   24.902    F8Vs                               6.33
HD110014  12   39   14.76703    -07     59  44.0324    K2III                             4.657
HD110379  12   41     39.983    -01     26    58.25    F0V                                3.44
HD110897  12   44   59.40506     39     16  44.1061    G0V                                   6
HD111786  12   51   57.89547    -26     44  17.7838    A0III                             6.145
HD112028  12   49   13.58934     83     24  46.4198    A1IIIshe...                        5.35
HD112127  12   53   55.74536     26     46  47.9855    K2.5III                            6.89
HD112413  12   56    1.66622     38     19   6.1541    A0spe...                            2.9
HD113022  13    0   38.71137     18     22  22.8373    F6Vs                                6.2
HD113092  12   59   55.07055     66     35  50.1693    K2III                             5.378
HD114038  13    7   53.81234    -10     44  25.4767    K1III                             5.164
HD114330  13    9   56.99067    -05     32  20.4185    A1IVs+...                         4.381
HD114642  13   12    3.54378    -16     11  54.9682    F5.5V                              5.04
HD114710  13   11   52.39379     27     52  41.4535    G0V                                4.25
HD114946  13   14    10.8955    -19     55  51.4084    G9IV                               5.33
HD115383  13   16   46.51596     09     25   26.959    G0V                                5.22
HD115617  13   18   24.31427    -18     18  40.3047    G7V                                4.74
HD115659  13   18   55.29719    -23     10  17.4514    G8III                                 3
HD117176  13   28   25.80861     13     46  43.6386    G5V                                4.97
HD117200  13   27    4.60966     64     44   7.8903    F0                                6.638
HD117876  13   32   48.21379     24     20  48.2809    G8III                              6.11
HD118244  13   35   11.41744     22     29  59.0313    F5V                                6.99
HD119228  13   40   44.27335     54     40  53.8891    M2III                             4.647
HD119288  13   42   12.75992     08     23  18.2261    F2V                                6.16
HD120136  13   47    15.7434     17     27  24.8552    F6IV+M2                            4.49
HD120933  13   51   47.47534     34     26  39.2613    K5III                             4.767
HD121130  13   51   25.93938     64     43  23.7727    M3III                              4.62
HD121299  13   54   42.14639    -01     30  11.2472    K2III                             5.164
HD121370  13   54   41.07892     18     23  51.7946    G0IV                               2.68
HD122106  13   59   49.27988    -03     32  59.2501    F8V                               6.409
HD122563  14    2   31.84546     09     41   9.9479    F8IV                                6.2
HD122742  14    3   32.35105     10     47  12.4008    G8V                                6.27
HD123299  14    4   23.34995     64     22  33.0619    A0III                              3.68
HD123657  14    7   55.75601     43     51  16.0259    M4.5:III                           5.22
HD124186  14   11   15.12108     32     17  45.2102    K4III                             6.139
HD124850  14   16    0.86951    -06      0   1.9633    F7IV                                4.1
HD124897  14   15   39.67207     19     10   56.673    K1.5III                           -0.04
HD125184  14   18    0.72745    -07     32  32.6045    G5IV                                6.5
HD125451  14   19   16.28033     13      0  15.4792    F5IV                                5.4
HD126053  14   23   15.28492     01     14  29.6483    G1V                                 6.3
HD126141  14   23    6.82131     25     20  17.4338    F5V                               6.226
HD126218  14   24   48.62551    -24     48   22.709    K0III                             5.343
HD126660  14   25   11.79703     51     51   2.6769    F7V                                4.05
HD127243  14   28   37.81317     49     50  41.4583    G3IV                               5.59
HD127334  14   29   36.80866     41     47  45.2893    G5V                                6.36
HD128167  14   34   40.81699     29     44   42.459    F2V                                4.46
HD128429  14   36   59.77725    -12     18  19.2588    F6V                                 6.2
HD129174  14   40   43.56782     16     25   5.9692    B9p+...                            4.91
HD130694  14   50   17.30909    -27     57  37.3321    K4III                              4.42
HD130705  14   49   26.15549     10      2  38.9659    K4II-III                          6.636
HD130817  14   49    6.74254     37     48  40.2436    F2V                                6.16
HD131430  14   54   20.12877    -24     38  31.9384    K2/K3III                          5.274
HD131918  14   56   46.11227    -11     24  34.9384    K4III                             5.479
HD131977  14   57   28.00144    -21     24  55.7131    K4V                                5.74
