    PK06H010  2019 12  7.5662  2.422273  0.581035  309.2540  359.9426   12.8039  20190514  12.5  4.0  P/2006 H1 (McNaught)                                     MPC 58118
    PK06H30R  2028 10 17.8473  1.237653  0.841537  117.3698  309.8428   31.8502  20190514  11.0  4.0  P/2006 HR30 (Siding Spring)                              MPC 75707
    CK06K040  2007 11 25.5084  3.200503  0.997241  233.6947  116.7039  111.5429  20190514   6.0  4.0  C/2006 K4 (NEAT)                                         MPC 73914
    CK06O02F  2008 09  9.6918  2.448137  1.001454   95.6458  318.6676   30.1715  20190514   5.5  4.0  C/2006 OF2 (Broughton)                                   MPC 82313
    CK06Q010  2008 07  3.1234  2.782798  0.999022  344.5592  199.4115   59.0966  20190514   5.0  4.0  C/2006 Q1 (McNaught)                                     MPC112388
    PK06R010  2019 12 29.2844  1.663336  0.704433  249.2976  218.8380  160.0686  20191223  16.0  4.0  P/2006 R1 (Siding Spring)                                MPEC 2019-S105
    CK06S030  2012 04 12.7917  5.155319  1.000242  140.1961   38.3621  166.0235  20190514   2.0  4.0  C/2006 S3 (LONEOS)                                       MPC105235
    PK06S040  2022 01 15.7029  3.104761  0.506988  305.2436   36.1110   39.5604  20190514  11.0  4.0  P/2006 S4 (Christensen)                                  MPC 75707
    CK06S050  2007 12  2.1525  2.656625  0.972313  182.2238  281.5646   10.0961  20190514   8.0  4.0  C/2006 S5 (Hill)                                         MPC 60465
    CK06U060  2008 05 30.2069  2.520350  0.998758  276.7112  180.1603   84.8211  20190514   8.0  4.0  C/2006 U6 (Spacewatch)                                   MPC 66204
    CK06V010  2007 11 28.2056  2.658456  0.983424  253.2295  335.4032   31.3239  20190514   8.0  4.0  C/2006 V1 (Catalina)                                     MPC 62580
    PK06W010  2020 04  3.7148  1.700025  0.707629  232.3152  152.2779   18.5466  20190514  12.0  4.0  P/2006 W1 (Gibbs)                                        MPC105235
    CK06W030  2009 07  3.7581  3.115856  0.999036  133.1816  113.3329  127.0749  20190514   5.0  4.0  C/2006 W3 (Christensen)                                  MPC 82313
    PK07A020  2022 11 29.8242  2.794624  0.557516  186.8623  300.9189   26.4917  20190514  13.5  4.0  P/2007 A2 (Christensen)                                  MPC 75707
    PK07B010  2021 01 25.8134  2.437287  0.580737   46.8304   77.6633   12.3779  20190514  13.5  4.0  P/2007 B1 (Christensen)                                  MPC 59319
    CK07B020  2008 08 24.1217  2.980099  0.995810  206.2432   14.7283   27.5406  20190514   6.0  4.0  C/2007 B2 (Skiff)                                        MPC112388
    PK07C020  2026 04  5.4086  3.742875  0.466233  179.5044  275.8185    8.7137  20190514  10.0  4.0  P/2007 C2 (Catalina)                                     MPC 75707
    CK07D010  2007 06 13.9748  8.838373  0.995794  340.2818  171.0682   41.4974  20190514   3.5  4.0  C/2007 D1 (LINEAR)                                       MPC 84315
    CK07G010  2008 11 16.6303  2.643944  0.999845  223.8963   79.0311   88.6562  20190514   5.5  4.0  C/2007 G1 (LINEAR)                                       MPC 66464
    PK07K020  2026 12 29.6435  2.289553  0.684460  347.5299  188.6506    7.6507  20190514  14.0  4.0  P/2007 K2 (Gibbs)                                        MPC 82314
    CK07K030  2008 04 25.2167  2.023207  0.998967   23.3106  263.1788   16.4217  20190514   9.5  4.0  C/2007 K3 (Siding Spring)                                MPC 82314
    CK07M010  2008 08  5.5591  7.490696  0.993606   52.7035  326.8605  139.7711  20190514   6.0  4.0  C/2007 M1 (McNaught)                                     MPC 87475
    CK07M020  2008 12 11.6262  3.546206  0.998130  220.7537  357.2430   80.9431  20190514   8.0  4.0  C/2007 M2 (Catalina)                                     MPC112388
    CK07N030  2009 01 10.6167  1.227980  0.999367  136.7624  338.2862  178.3756  20190514   6.5  4.0  C/2007 N3 (Lulin)                                        MPC 73461
    PK07Q020  2020 11 27.2369  1.862432  0.670026  162.8438  172.2262   10.2051  20190514  16.0  4.0  P/2007 Q2 (Gilmore)                                      MPC 60925
    CK07Q030  2009 10  6.0006  2.272174  1.000528    2.2781  149.4595   65.5048  20190514   4.5  4.0  C/2007 Q3 (Siding Spring)                                MPC 78183
    PK07R020  2020 09 16.0232  1.631223  0.543373  352.3263   11.6178    1.2190  20190514  17.0  4.0  P/2007 R2 (Gibbs)                                        MPC 75708
    PK07R040  2021 12  9.5054  1.949156  0.669625  282.9246   87.2149   20.2378  20190514  14.5  4.0  P/2007 R4 (Garradd)                                      MPC 75708
    PK07S010  2022 10  9.2563  2.510945  0.340442  245.9506  141.4358    5.9629  20190514  13.0  4.0  P/2007 S1 (Zhao)                                         MPC 73462
    CK07S020  2008 09  6.1082  5.590747  0.554927  210.6770  296.0869   16.8399  20190514   6.5  4.0  C/2007 S2 (Lemmon)                                       MPC 82314
    CK07T010  2007 12 10.1070  0.977632  0.999601  233.9559  111.7116  117.9546  20190514  10.5  4.0  C/2007 T1 (McNaught)                                     MPC 62270
    PK07T020  2018 07 23.4675  0.655963  0.784802  359.6407    3.3920    9.7345  20190514  18.5  4.0  P/2007 T2 (Kowalski)                                     MPC 61994
    PK07T040  2019 07 23.6351  2.005021  0.618085   42.4237   37.0589   23.8588  20190716  13.4  4.0  P/2007 T4 (Gibbs)                                        MPEC 2019-R84
    CK07T050  2008 05 20.1394  4.077370  0.912565   34.5910  109.8170   45.4800  20190514   8.0  4.0  C/2007 T5 (Gibbs)                                        MPC 65935
    CK07U010  2008 08  7.9872  3.306703  0.999988    1.1776   50.4512  157.7361  20190514   9.0  4.0  C/2007 U1 (LINEAR)                                       MPC 66921
    CK07V53O  2010 04 21.4861  4.862075  0.999811   75.1530   59.7000   86.8622  20190514   7.0  4.0  C/2007 VO53 (Spacewatch)                                 MPC 81468
    PK07V11Q  2020 09 18.2415  2.694923  0.502808  277.7168  163.8240   12.3220  20190514  12.0  4.0  P/2007 VQ11 (Catalina)                                   MPC 75708
