    PK03L010  2003 03  9.7198  5.011328  0.252904  355.4014  226.0240    9.0202  20050130   8.5  4.0  P/2003 L1 (Scotti)
    CK03O010  2004 03 17.2873  6.847634  1.000538   81.6824  347.6431  117.9817  20050130   6.0  4.0  C/2003 O1 (LINEAR)
    PK03Q29X  2002 10 26.1832  4.237233  0.471840   37.2285  264.5468   11.3977  20050130   8.5  4.0  P/2003 QX29 (NEAT)
    PK03S010  2004 03 27.6678  2.595845  0.430290  175.8371  241.0643    5.9453  20050130  11.5  4.0  P/2003 S1 (NEAT)
    CK03S030  2003 04 10.8716  8.129459  1.003163  154.5806  226.3886  151.5077  20050130   5.5  4.0  C/2003 S3 (LINEAR)
    CK03S040  2004 05 26.5560  3.858751  0.901715  154.4404  224.5517   40.6090  20050130   9.0  4.0  C/2003 S4 (LINEAR)
    PK03SL5Q  2004 03 24.2036  2.304283  0.581055  137.3002  257.6393    5.5463  20050130  14.0  2.0  P/2003 SQ215 (NEAT-LONEOS)
    CK03T030  2004 04 28.9994  1.481355  0.999771   43.7830  347.0586   50.4433  20050130   5.0  4.0  C/2003 T3 (Tabur)
    CK03T040  2005 04  3.6609  0.849765  1.000328  181.6804   93.9038   86.7616  20050130   6.0  4.0  C/2003 T4 (LINEAR)
    CK03W42T  2006 04 10.4930  5.191574  1.003320   92.4326   48.4581   31.4112  20050130   9.0  2.0  C/2003 WT42 (LINEAR)
    PK04A010  2004 08 27.0961  5.462816  0.309379   20.6118  125.2270   10.5699  20050130   6.5  4.0  P/2004 A1 (LONEOS)
    CK04B010  2006 02  7.8853  1.601956  1.001315  327.8945  272.7944  114.0926  20050130  10.5  2.0  C/2004 B1 (LINEAR)
    CK04C010  2003 03 19.3321  4.349795  0.625803  315.9683  151.9549   28.8625            13.5  2.0  C/2004 C1 (Larsen)
    CK04D010  2006 02 10.6227  4.974825  1.002066   75.5222   62.2520   45.5390  20050130  11.5  2.0  C/2004 D1 (NEAT)
    PK04D29O  2004 10  9.9910  4.098610  0.449356   41.5705  147.8722   14.5464            13.5  2.0  P/2004 DO29 (Spacewatch-LINEAR)
    PK04F010  2003 10 19.3130  2.449477  0.451288   26.2721  111.8666   18.2691  20050130  16.0  2.0  P/2004 F1 (NEAT)
    PK04F030  2005 01  4.3111  2.864081  0.286595  176.1280   78.8312   15.9880  20050130   9.0  4.0  P/2004 F3 (NEAT)
