source_id,original_ext_source_id
44358422235136,14113
83154862613888,13957
132667245587072,14003
250246270117248,14204
261756782464128,14231
332469124171904,13917
384317969303168,13620
630505494719360,14445
650159265042048,14315
796222512845056,14416
1066152617449600,14348
1102883177746176,14443
1213384096442112,13481
1222626866037120,13386
1249152584079360,13482
1301929142132608,13869
1435244927007872,13313
1564678061440128,13572
1743000808216320,14014
1753553543188992,14099
2015099871749760,13937
2058736739430272,13593
2077600235810048,13762
2343922567844736,14667
2469644850602624,14950
2543861884981632,14644
2761084151394944,14746
2864197726199296,15427
2891749941058560,15169
2917004348752384,15115
3059945155636992,15365
3089322731931264,15503
3181784787901568,14961
3188656735589888,14835
3245105490185216,15253
3383957488516736,14362
3387393462379392,14438
3403714338071168,14352
3613338806381824,14421
3622792029823232,14496
3665501184671104,14143
3763770036361856,14071
3853139716004736,14437
3876366899115904,14261
3915262122959488,14454
4053388271076480,14829
4121764150432384,15157
4267552520347776,14731
4400932729157760,14996
4425847835083264,14915
4488897954947200,14802
4645750160709248,13314
4656161161454464,13412
4799269471629952,12946
4820435070485632,13031
4913343802961792,12848
5104968063896576,13682
5228079006411904,13756
5513093036234624,13494
5552331857465216,13641
5661973782496640,12670
5850333867750784,12862
5929533065196032,12412
6077245580440704,12633
6121947600098304,12802
6311991312884480,13170
6346041813693824,13410
6478258087046528,12925
6491722808836864,12856
6545259576871808,12813
6713965892090624,13037
6808867489604992,14054
6882083796479360,13940
6963761190199424,14258
6989290475763456,14023
7001556902355840,14075
7121472389312512,13687
7137861984507136,13671
7202389573123712,13932
7264202742437504,13923
7320518353634560,14390
7461255842074368,14590
7505953565990656,14804
7545608999717504,14556
7597629643591936,14600
7633157612463232,14169
7665936803423872,14266
7870579109919360,14334
7894085466178560,13632
7957921564970752,13408
8051311333638656,13813
8120550501719680,13650
8198714610964864,13449
8229505232107136,13420
8367803179074816,13674
8425046503155456,13603
8471741387605888,13967
8479094371605632,13976
8495724484999168,14126
8610550435382400,14096
8692193468981376,14176
8810116091022208,13679
8978818111241728,13977
9137083361284352,15670
9205253082371712,15978
9362380165797888,15397
9404573924486656,15542
9505110518988928,15593
9542253396174848,15738
9668559794416512,16050
9769543065590912,16380
9877806305711744,15875
9964981257351936,15923
9994255754669184,16158
10074073426833536,16116
10245940838016768,15279
10361526997939456,15433
10398150183565056,15423
10584899657116672,15304
10608573516849536,15310
10625478508110208,15368
10769136574134912,15650
10889666240721024,15993
10942515813999488,15960
11037726649058432,15563
11040337989170688,15611
11097615673025152,15515
11158707287951488,15810
11279889789590656,16560
11397988505713536,16609
11530342217968000,16786
11575593993471232,16372
11652284929501440,16342
11928399787316480,17059
11987051861769728,17244
12151703726627456,17032
12184482916416768,16778
12288352407192704,17240
12314843763993984,16934
12409848441118464,16120
12624111473792256,16255
12773855509386752,15936
12790176385109376,15897
12949502491938560,16604
13247985539110272,16325
13327627117470208,16250
13471804874760192,16478
13555539556582272,15020
13898793343318144,14607
13930954058417664,14603
14045646865173120,14803
14143675198789504,15374
14163878724940672,15099
14181677069436288,15298
14276716105786112,15630
14358664081804928,15074
14359557434998400,15077
14553170265024384,15288
14560046508208640,15401
14722087034347392,14319
14838807065680768,14630
14846297488636032,14716
14981159461673984,14274
15168965496290816,14360
15227621865063168,14792
15230714241517056,14778
15265864253842560,14906
15348701287626112,15054
15489408711727488,14601
15572731077193600,14436
15630661596228352,14861
15636842053872512,14843
15660142251730944,14977
15674573341829760,14997
15832559418215936,15837
16014322434665600,15922
16264220811754368,15668
16370186245017600,16322
16374515572051712,16296
16443647365614208,16224
16680111085068800,15857
16730924842529024,15904
